estado,municipio,media_pm2_5,data
SÃO PAULO,RIBEIRÃO BONITO,21.46,28-05-2025 00:00:00
SÃO PAULO,BARIRI,21.27,28-05-2025 00:00:00
SÃO PAULO,GUARAREMA,21.04,28-05-2025 00:00:00
SÃO PAULO,PEDRINHAS PAULISTA,20.79,28-05-2025 00:00:00
SÃO PAULO,LENÇÓIS PAULISTA,20.71,28-05-2025 00:00:00
SÃO PAULO,TARUMÃ,20.7,28-05-2025 00:00:00
SÃO PAULO,FRANCA,20.67,28-05-2025 00:00:00
SÃO PAULO,CÂNDIDO MOTA,20.59,28-05-2025 00:00:00
SÃO PAULO,CRUZÁLIA,20.59,28-05-2025 00:00:00
SÃO PAULO,VARGEM GRANDE DO SUL,20.51,28-05-2025 00:00:00
SÃO PAULO,AMPARO,20.49,28-05-2025 00:00:00
SÃO PAULO,IBITINGA,20.28,28-05-2025 00:00:00
SÃO PAULO,ITAPIRA,20.24,28-05-2025 00:00:00
SÃO PAULO,SÃO CARLOS,19.95,28-05-2025 00:00:00
SÃO PAULO,TUIUTI,19.91,28-05-2025 00:00:00
SÃO PAULO,MAIRINQUE,19.88,28-05-2025 00:00:00
SÃO PAULO,CHARQUEADA,19.87,28-05-2025 00:00:00
SÃO PAULO,TABAPUÃ,19.82,28-05-2025 00:00:00
SÃO PAULO,ITIRAPINA,19.81,28-05-2025 00:00:00
SÃO PAULO,PALMITAL,19.62,28-05-2025 00:00:00
SÃO PAULO,FLORÍNEA,19.61,28-05-2025 00:00:00
SÃO PAULO,SALTO,19.55,28-05-2025 00:00:00
SÃO PAULO,CATIGUÁ,19.5,28-05-2025 00:00:00
SÃO PAULO,AREIÓPOLIS,19.45,28-05-2025 00:00:00
SÃO PAULO,ITAJOBI,19.29,28-05-2025 00:00:00
SÃO PAULO,ITAJU,19.24,28-05-2025 00:00:00
SÃO PAULO,ASSIS,19.16,28-05-2025 00:00:00
SÃO PAULO,MARACAÍ,19.12,28-05-2025 00:00:00
SÃO PAULO,PORTO FELIZ,19.07,28-05-2025 00:00:00
SÃO PAULO,ITU,19.01,28-05-2025 00:00:00
SÃO PAULO,MOCOCA,19,28-05-2025 00:00:00
SÃO PAULO,IGARAPAVA,18.91,28-05-2025 00:00:00
SÃO PAULO,SÃO MANUEL,18.76,28-05-2025 00:00:00
SÃO PAULO,CRISTAIS PAULISTA,18.74,28-05-2025 00:00:00
SÃO PAULO,SÃO JOÃO DA BOA VISTA,18.65,28-05-2025 00:00:00
SÃO PAULO,ELISIÁRIO,18.59,28-05-2025 00:00:00
SÃO PAULO,SÃO JOSÉ DO RIO PARDO,18.55,28-05-2025 00:00:00
SÃO PAULO,CÁSSIA DOS COQUEIROS,18.51,28-05-2025 00:00:00
SÃO PAULO,BROTAS,18.49,28-05-2025 00:00:00
SÃO PAULO,SERRA NEGRA,18.46,28-05-2025 00:00:00
SÃO PAULO,ALTAIR,18.42,28-05-2025 00:00:00
SÃO PAULO,MONTE ALEGRE DO SUL,18.36,28-05-2025 00:00:00
SÃO PAULO,TIETÊ,18.36,28-05-2025 00:00:00
SÃO PAULO,TORRINHA,18.22,28-05-2025 00:00:00
SÃO PAULO,AGUDOS,18.12,28-05-2025 00:00:00
SÃO PAULO,IBIRAREMA,18.1,28-05-2025 00:00:00
SÃO PAULO,ESPÍRITO SANTO DO PINHAL,18.02,28-05-2025 00:00:00
SÃO PAULO,SÃO SEBASTIÃO DA GRAMA,17.88,28-05-2025 00:00:00
SÃO PAULO,MARAPOAMA,17.83,28-05-2025 00:00:00
SÃO PAULO,ALUMÍNIO,17.66,28-05-2025 00:00:00
SÃO PAULO,IBIÚNA,17.54,28-05-2025 00:00:00
SÃO PAULO,AREALVA,17.47,28-05-2025 00:00:00
SÃO PAULO,CERQUILHO,17.39,28-05-2025 00:00:00
SÃO PAULO,IEPÊ,17.39,28-05-2025 00:00:00
SÃO PAULO,PEDREGULHO,17.35,28-05-2025 00:00:00
SÃO PAULO,ÁGUAS DE SÃO PEDRO,17.2,28-05-2025 00:00:00
SÃO PAULO,PLATINA,17.19,28-05-2025 00:00:00
SÃO PAULO,JUMIRIM,17.17,28-05-2025 00:00:00
SÃO PAULO,SANTA MARIA DA SERRA,17.04,28-05-2025 00:00:00
SÃO PAULO,BOREBI,16.86,28-05-2025 00:00:00
SÃO PAULO,VARGEM,16.81,28-05-2025 00:00:00
SÃO PAULO,PRATÂNIA,16.79,28-05-2025 00:00:00
SÃO PAULO,RIBEIRÃO DO SUL,16.79,28-05-2025 00:00:00
SÃO PAULO,LINDÓIA,16.78,28-05-2025 00:00:00
SÃO PAULO,PINHALZINHO,16.74,28-05-2025 00:00:00
SÃO PAULO,PATROCÍNIO PAULISTA,16.73,28-05-2025 00:00:00
SÃO PAULO,ÁGUAS DA PRATA,16.72,28-05-2025 00:00:00
SÃO PAULO,BORBOREMA,16.57,28-05-2025 00:00:00
SÃO PAULO,SALTO GRANDE,16.53,28-05-2025 00:00:00
SÃO PAULO,BANANAL,16.52,28-05-2025 00:00:00
SÃO PAULO,SÃO PEDRO,16.51,28-05-2025 00:00:00
SÃO PAULO,JACAREÍ,16.47,28-05-2025 00:00:00
SÃO PAULO,LARANJAL PAULISTA,16.43,28-05-2025 00:00:00
SÃO PAULO,BOITUVA,16.33,28-05-2025 00:00:00
SÃO PAULO,SANTO ANTÔNIO DO JARDIM,16.27,28-05-2025 00:00:00
SÃO PAULO,PARAGUAÇU PAULISTA,16.11,28-05-2025 00:00:00
SÃO PAULO,BAURU,16.1,28-05-2025 00:00:00
SÃO PAULO,ÁGUAS DE LINDÓIA,16.02,28-05-2025 00:00:00
SÃO PAULO,BOTUCATU,15.99,28-05-2025 00:00:00
SÃO PAULO,JOANÓPOLIS,15.95,28-05-2025 00:00:00
SÃO PAULO,SALESÓPOLIS,15.91,28-05-2025 00:00:00
SÃO PAULO,SANTA BRANCA,15.88,28-05-2025 00:00:00
SÃO PAULO,IACANGA,15.73,28-05-2025 00:00:00
SÃO PAULO,DIVINOLÂNDIA,15.71,28-05-2025 00:00:00
SÃO PAULO,SANTO ANTÔNIO DA ALEGRIA,15.6,28-05-2025 00:00:00
SÃO PAULO,UCHOA,15.6,28-05-2025 00:00:00
SÃO PAULO,NANTES,15.51,28-05-2025 00:00:00
SÃO PAULO,CAMPOS NOVOS PAULISTA,15.44,28-05-2025 00:00:00
SÃO PAULO,AVANHANDAVA,15.42,28-05-2025 00:00:00
SÃO PAULO,PERUÍBE,15.36,28-05-2025 00:00:00
SÃO PAULO,ANHEMBI,15.23,28-05-2025 00:00:00
SÃO PAULO,OURINHOS,15.15,28-05-2025 00:00:00
SÃO PAULO,SÃO PEDRO DO TURVO,15.07,28-05-2025 00:00:00
SÃO PAULO,URUPÊS,14.91,28-05-2025 00:00:00
SÃO PAULO,IBIRÁ,14.87,28-05-2025 00:00:00
SÃO PAULO,PROMISSÃO,14.85,28-05-2025 00:00:00
SÃO PAULO,IPERÓ,14.73,28-05-2025 00:00:00
SÃO PAULO,NOVO HORIZONTE,14.7,28-05-2025 00:00:00
SÃO PAULO,CANITAR,14.51,28-05-2025 00:00:00
SÃO PAULO,SOROCABA,14.43,28-05-2025 00:00:00
SÃO PAULO,SÃO JOSÉ DOS CAMPOS,14.34,28-05-2025 00:00:00
SÃO PAULO,PIRATININGA,14.27,28-05-2025 00:00:00
SÃO PAULO,SANTA CRUZ DO RIO PARDO,14.24,28-05-2025 00:00:00
SÃO PAULO,ECHAPORÃ,14.23,28-05-2025 00:00:00
SÃO PAULO,ESTRELA DO NORTE,14.22,28-05-2025 00:00:00
SÃO PAULO,SOCORRO,14.2,28-05-2025 00:00:00
SÃO PAULO,VOTORANTIM,14.07,28-05-2025 00:00:00
SÃO PAULO,GUAIÇARA,14.06,28-05-2025 00:00:00
SÃO PAULO,CHAVANTES,13.92,28-05-2025 00:00:00
SÃO PAULO,PENÁPOLIS,13.88,28-05-2025 00:00:00
SÃO PAULO,ARAPEÍ,13.8,28-05-2025 00:00:00
SÃO PAULO,ITIRAPUÃ,13.8,28-05-2025 00:00:00
SÃO PAULO,PEREIRAS,13.76,28-05-2025 00:00:00
SÃO PAULO,TAPIRATIBA,13.73,28-05-2025 00:00:00
SÃO PAULO,JOÃO RAMALHO,13.67,28-05-2025 00:00:00
SÃO PAULO,ICÉM,13.59,28-05-2025 00:00:00
SÃO PAULO,CESÁRIO LANGE,13.56,28-05-2025 00:00:00
SÃO PAULO,IPAUSSU,13.48,28-05-2025 00:00:00
SÃO PAULO,GUAPIAÇU,13.34,28-05-2025 00:00:00
SÃO PAULO,CONCHAS,13.3,28-05-2025 00:00:00
SÃO PAULO,OCAUÇU,13.3,28-05-2025 00:00:00
SÃO PAULO,CACONDE,13.25,28-05-2025 00:00:00
SÃO PAULO,CEDRAL,13.25,28-05-2025 00:00:00
SÃO PAULO,PEDRA BELA,13.24,28-05-2025 00:00:00
SÃO PAULO,BARBOSA,13.17,28-05-2025 00:00:00
SÃO PAULO,QUATÁ,13.12,28-05-2025 00:00:00
SÃO PAULO,SANDOVALINA,13.11,28-05-2025 00:00:00
SÃO PAULO,PIEDADE,13.09,28-05-2025 00:00:00
SÃO PAULO,IRAPUÃ,12.97,28-05-2025 00:00:00
SÃO PAULO,TATUÍ,12.95,28-05-2025 00:00:00
SÃO PAULO,GETULINA,12.94,28-05-2025 00:00:00
SÃO PAULO,NARANDIBA,12.91,28-05-2025 00:00:00
SÃO PAULO,ITARIRI,12.82,28-05-2025 00:00:00
SÃO PAULO,LUTÉCIA,12.77,28-05-2025 00:00:00
SÃO PAULO,ALTO ALEGRE,12.7,28-05-2025 00:00:00
SÃO PAULO,RIFAINA,12.65,28-05-2025 00:00:00
SÃO PAULO,LINS,12.6,28-05-2025 00:00:00
SÃO PAULO,TIMBURI,12.57,28-05-2025 00:00:00
SÃO PAULO,POTIRENDABA,12.51,28-05-2025 00:00:00
SÃO PAULO,BORÁ,12.48,28-05-2025 00:00:00
SÃO PAULO,URU,12.45,28-05-2025 00:00:00
SÃO PAULO,UBIRAJARA,12.39,28-05-2025 00:00:00
SÃO PAULO,RANCHARIA,12.38,28-05-2025 00:00:00
SÃO PAULO,LUPÉRCIO,12.35,28-05-2025 00:00:00
SÃO PAULO,OSCAR BRESSANE,12.34,28-05-2025 00:00:00
SÃO PAULO,PEDRO DE TOLEDO,12.31,28-05-2025 00:00:00
SÃO PAULO,ALVINLÂNDIA,12.27,28-05-2025 00:00:00
SÃO PAULO,REGINÓPOLIS,12.25,28-05-2025 00:00:00
SÃO PAULO,BERNARDINO DE CAMPOS,12.12,28-05-2025 00:00:00
SÃO PAULO,JAMBEIRO,12.09,28-05-2025 00:00:00
SÃO PAULO,PONGAÍ,12.09,28-05-2025 00:00:00
SÃO PAULO,ARAÇOIABA DA SERRA,11.89,28-05-2025 00:00:00
SÃO PAULO,SÃO JOSÉ DO BARREIRO,11.87,28-05-2025 00:00:00
SÃO PAULO,CAPELA DO ALTO,11.86,28-05-2025 00:00:00
SÃO PAULO,TEODORO SAMPAIO,11.81,28-05-2025 00:00:00
SÃO PAULO,ESPÍRITO SANTO DO TURVO,11.77,28-05-2025 00:00:00
SÃO PAULO,ONDA VERDE,11.68,28-05-2025 00:00:00
SÃO PAULO,SALES,11.66,28-05-2025 00:00:00
SÃO PAULO,PORANGABA,11.64,28-05-2025 00:00:00
SÃO PAULO,CABRÁLIA PAULISTA,11.57,28-05-2025 00:00:00
SÃO PAULO,TARABAI,11.56,28-05-2025 00:00:00
SÃO PAULO,PAULISTÂNIA,11.5,28-05-2025 00:00:00
SÃO PAULO,DUARTINA,11.49,28-05-2025 00:00:00
SÃO PAULO,PARAIBUNA,11.43,28-05-2025 00:00:00
SÃO PAULO,QUADRA,11.36,28-05-2025 00:00:00
SÃO PAULO,JACUPIRANGA,11.32,28-05-2025 00:00:00
SÃO PAULO,BALBINOS,11.27,28-05-2025 00:00:00
SÃO PAULO,AVAÍ,11.25,28-05-2025 00:00:00
SÃO PAULO,MARÍLIA,11.25,28-05-2025 00:00:00
SÃO PAULO,LUCIANÓPOLIS,11.23,28-05-2025 00:00:00
SÃO PAULO,MIRACATU,11.22,28-05-2025 00:00:00
SÃO PAULO,TACIBA,11.19,28-05-2025 00:00:00
SÃO PAULO,BOFETE,11.16,28-05-2025 00:00:00
